Combo,Subject,Catalog,Name,CC
ARHS1494,ARHS,1494,Spanish Art and Architecture,GPS
ARHS1495,ARHS,1495,Spanish Art and Architecture,W
ARHS1496,ARHS,1496,El Greco to Goya,CA
ARHS1497,ARHS,1497,El Greco to Goya,CAA
ARHS1498,ARHS,1498,Portraiture and Selfhood,CA
ARHS1499,ARHS,1499,Portraiture and Selfhood,CAA
ARHS1500,ARHS,1500,The Art Market,HC
ARHS1501,ARHS,1501,Decorative Arts and Dress,HC
ARHS1502,ARHS,1502,Animals in Art,CA
ARHS1503,ARHS,1503,Animals in Art,CAA
ARHS1504,ARHS,1504,American Built Environment,CA
ARHS1505,ARHS,1505,American Built Environment,CAA
ARHS1506,ARHS,1506,Eighteenth-Century Art,CA
ARHS1507,ARHS,1507,Eighteenth-Century Art,CAA
ARHS1508,ARHS,1508,Eighteenth-Century Art,W
ARHS1509,ARHS,1509,The Making of Modern Life,HC
ARHS1510,ARHS,1510,British Art and Architecture,HC
ARHS1511,ARHS,1511,American Art & Architecture I,HC
ARHS1512,ARHS,1512,American Art & Architecture I,W
ARHS1513,ARHS,1513,Modern Architecture,HC
ARHS1514,ARHS,1514,Brazilian Art and Architecture,CA
ARHS1515,ARHS,1515,Brazilian Art and Architecture,CAA
ARHS1516,ARHS,1516,Race/Gender in Visual Culture,CA
ARHS1517,ARHS,1517,Race/Gender in Visual Culture,CAA
ARHS1518,ARHS,1518,"Picasso, O'Keeffe, and Dali",CA
ARHS1519,ARHS,1519,"Picasso, O'Keeffe, and Dali",CAA
ARHS1520,ARHS,1520,History of Photography I,TAS
ARHS1521,ARHS,1521,Art and Context: 1940-1970,HC
ARHS1522,ARHS,1522,Contemporary Art: 1965-Present,CA
ARHS1523,ARHS,1523,Contemporary Art: 1965-Present,CAA
ARHS1524,ARHS,1524,African Festival & Masquerade,CA
ARHS1525,ARHS,1525,African Festival & Masquerade,CAA
ARHS1526,ARHS,1526,American Art & Architecture II,CA
ARHS1527,ARHS,1527,American Art & Architecture II,CAA
ARHS1528,ARHS,1528,Afro-Latin American Art,CA
ARHS1529,ARHS,1529,Afro-Latin American Art,CAA
ARHS1530,ARHS,1530,History of Photography II,TAS
ARHS1531,ARHS,1531,Gender and Sexuality in Art,HC
ARHS1532,ARHS,1532,Picturing Children and Family,HC
ARHS1533,ARHS,1533,Art of the Afro-Fantastic,CA
ARHS1534,ARHS,1534,Art of the Afro-Fantastic,CAA
ARHS1535,ARHS,1535,Research & Methods in Art Hist,OC
ASAG1536,ASAG,1536,Observations,CA
ASAG1537,ASAG,1537,Observations,CAC
ASAG1538,ASAG,1538,Art Colloquium: New York,CA
ASAG1539,ASAG,1539,Art Colloquium: New York,CAC
ASCE1540,ASCE,1540,Introduction to Ceramics,CA
ASCE1541,ASCE,1541,Introduction to Ceramics,CAC
ASCE1542,ASCE,1542,Ceramic Technology,CA
ASCE1543,ASCE,1543,Ceramic Technology,CAA
ASCE1544,ASCE,1544,"Sex, Drugs, and Rocks",CA
ASCE1545,ASCE,1545,"Sex, Drugs, and Rocks",CAC
ASCE1546,ASCE,1546,"Sex, Drugs, and Rocks",HD
ASCE1547,ASCE,1547,Death Pots,CA
ASCE1548,ASCE,1548,Death Pots,CAC
ASCE1549,ASCE,1549,Death Pots,GPS
ASCE1550,ASCE,1550,Death Pots,W
ASDR1551,ASDR,1551,Introduction to Drawing,CA
ASDR1552,ASDR,1552,Introduction to Drawing,CAC
ASDR1553,ASDR,1553,Drawing in Italy,CA
ASDR1554,ASDR,1554,Drawing in Italy,CAC
ASL1555,ASL,1555,American Sign Language II,SLS
ASL1556,ASL,1556,ASL II with Review,SLS
ASL1557,ASL,1557,Intermediate ASL I,LAI
ASPH1558,ASPH,1558,Introduction to Photography,CA
ASPH1559,ASPH,1559,Introduction to Photography,CAC
ASPH1560,ASPH,1560,Introduction to Photography,OC
ASPH1561,ASPH,1561,Photography in Taos,CA
ASPH1562,ASPH,1562,Photography in Taos,CAC
ASPH1563,ASPH,1563,Photography in Taos,OC
ASPR1564,ASPR,1564,Introduction to Printmaking,CA
ASPR1565,ASPR,1565,Introduction to Printmaking,CAC
ASPT1566,ASPT,1566,Introduction to Painting,CA
ASPT1567,ASPT,1567,Introduction to Painting,CAC
ASSC1568,ASSC,1568,Introduction to Sculpture,CA
ASSC1569,ASSC,1569,Introduction to Sculpture,CAC
BIOL1570,BIOL,1570,Introductory Biology Lab,ES
BIOL1571,BIOL,1571,Introductory Biology Lab,ES9
BIOL1572,BIOL,1572,Introductory Biology Lab,ES
BIOL1573,BIOL,1573,Introductory Biology Lab,ES9
BIOL1574,BIOL,1574,Biology for Liberal Arts,ES
BIOL1575,BIOL,1575,Introductory Biology,ES
BIOL1576,BIOL,1576,Introductory Biology,ES8
BIOL1577,BIOL,1577,Introductory Biology,ES
BIOL1578,BIOL,1578,Introductory Biology,ES8
BIOL1579,BIOL,1579,Anatomy and Physiology Lab I,ES
BIOL1580,BIOL,1580,Biological Chemistry Lab,QA
CCPA1581,CCPA,1581,Public Speaking in Context,OC
CCPA1582,CCPA,1582,Intro to Newswriting for PR,W
CCPA1583,CCPA,1583,Comm Research and Analytics,QA
CCPA1584,CCPA,1584,History/Philosophy Free Speech,HC
CCPA1585,CCPA,1585,Comm in Global Context,GPS
CCPA1586,CCPA,1586,Business & Professional Comm,W
CCPA1587,CCPA,1587,"Globalization, Economics &Comm",GPS
CEE1588,CEE,1588,Intro to Global Development,GPS
CEE1589,CEE,1589,Meteorology,ES
CEE1590,CEE,1590,Authentic Leadership,CE
CEE1591,CEE,1591,Authentic Leadership,HD
CEE1592,CEE,1592,Engineering Communications,OC
CEE1593,CEE,1593,Engineering Communications,W
CEE1594,CEE,1594,Civil and Envir Engr Design II,OC
CHEM1595,CHEM,1595,General Chemistry Laboratory,ES
CHEM1596,CHEM,1596,General Chemistry Laboratory,ES9
CHEM1597,CHEM,1597,General Chemistry Laboratory,ES
CHEM1598,CHEM,1598,General Chemistry Laboratory,ES9
CHEM1599,CHEM,1599,Chem for Liberal Arts,ES
CHEM1600,CHEM,1600,Preparatory Chemistry,ES
CHEM1601,CHEM,1601,General Chemistry,ES
CHEM1602,CHEM,1602,General Chemistry,ES8
CHEM1603,CHEM,1603,General Chemistry,ES
CHEM1604,CHEM,1604,General Chemistry,ES8
CHEM1605,CHEM,1605,Biological Chemistry Lab,QA
CHIN1606,CHIN,1606,Beginning Chinese: Second Term,SLM
CHIN1607,CHIN,1607,Intermediate Chinese,LAI
CHIN1608,CHIN,1608,Intermediate Chinese,GPS
CHIN1609,CHIN,1609,Intermediate Chinese(2nd Term),GPS
CHIN1610,CHIN,1610,Advanced Chinese (2nd Term),GPS
CHIN1611,CHIN,1611,Advanced Chinese (2nd Term),OC
CHIN1612,CHIN,1612,"Film, Culture and Society",HD
CLAS1613,CLAS,1613,Myth & Thgt-Ancient World,CA
CLAS1614,CLAS,1614,Myth & Thgt-Ancient World,CAA
CLAS1615,CLAS,1615,Myth & Thgt-Ancient World,OC
CS1616,CS,1616,Senior Design,OC
DANC1617,DANC,1617,The Dancer's Toolbox,CE
DANC1618,DANC,1618,Beginning Modern Dance,CA
DANC1619,DANC,1619,Beginning Modern Dance,CAC
DANC1620,DANC,1620,Dance Composition I,CA
DANC1621,DANC,1621,Dance Composition I,CAC
DANC1622,DANC,1622,Kinesiology for Dance,ES
DANC1623,DANC,1623,Dance Pedagogy,OC
DANC1624,DANC,1624,Evolution Amer Musical Theater,CA
DANC1625,DANC,1625,Evolution Amer Musical Theater,CAC
DANC1626,DANC,1626,Dance in Contemporary Society,CA
DANC1627,DANC,1627,Dance in Contemporary Society,CAC
DANC1628,DANC,1628,Dance in Contemporary Society,OC
DANC1629,DANC,1629,Dance in Contemporary Society,W
DANC1630,DANC,1630,Dance History I: Ballet,HD
DANC1631,DANC,1631,Dance History II: Modernism,W
DANC1632,DANC,1632,Dance History III:Jazz History,HD
DS1633,DS,1633,Practical Intro Data Science,TAS
DS1634,DS,1634,Practical Intro Data Science,QA
DSIN1635,DSIN,1635,Human-Centered Design,CE
ECE1636,ECE,1636,Mod Electronic Technology,TAS
ECE1637,ECE,1637,Introduction to ECE,TAS
ECE1638,ECE,1638,Solid State Devices,OC
ECE1639,ECE,1639,Solid State Devices,W
ECO1640,ECO,1640,Principles of Microeconomics,QA
EDU1641,EDU,1641,Mustang Emotional IQ,CIE
EDU1642,EDU,1642,Educational Psychology,HD
EDU1643,EDU,1643,Foundations of ESL Instruction,CE
EDU1644,EDU,1644,Intro Diverse Learners,HD
ENGL1645,ENGL,1645,Cultures of Medieval Chivalry,LAI
ENGL1646,ENGL,1646,The World of Shakespeare,LAI
ENGL1647,ENGL,1647,The American Heroine,LAI
ENGL1648,ENGL,1648,Speculative Fiction,LAI
ENGL1649,ENGL,1649,The Myth of the American West,CA
ENGL1650,ENGL,1650,The Myth of the American West,CAA
ENGL1651,ENGL,1651,Literature of Minorities,LAI
ENGL1652,ENGL,1652,Literature of Minorities,HD
ENGL1653,ENGL,1653,Introduction to Literature,CA
ENGL1654,ENGL,1654,Introduction to Literature,CAA
ENGL1655,ENGL,1655,"Power, Passion, and Protest",HC
ENGL1656,ENGL,1656,Business Writing,W
ENGL1657,ENGL,1657,Honors Humanities Seminar II,CA
ENGL1658,ENGL,1658,Honors Humanities Seminar II,CAA
ENGL1659,ENGL,1659,Honors Humanities Seminar II,W
ENGL1660,ENGL,1660,Imagination and Interpretation,CA
ENGL1661,ENGL,1661,Imagination and Interpretation,CAA
ENGL1662,ENGL,1662,Imagination and Interpretation,W
ENGL1663,ENGL,1663,Poetry,LAI
ENGL1664,ENGL,1664,Poetry,W
ENGL1665,ENGL,1665,Fiction,LAI
ENGL1666,ENGL,1666,Fiction,W
ENGL1667,ENGL,1667,Drama,LAI
ENGL1668,ENGL,1668,Drama,W
ENGL1669,ENGL,1669,Introduction to Literary Study,LAI
ENGL1670,ENGL,1670,Introduction to Literary Study,W
ENGL1671,ENGL,1671,Lit and Digital Humanities,LAI
ENGL1672,ENGL,1672,Lit and Digital Humanities,W
ENGL1673,ENGL,1673,Intro Creative Writing,CA
ENGL1674,ENGL,1674,Intro Creative Writing,CAC
ENGL1675,ENGL,1675,Intro Creative Writing,W
ENGL1676,ENGL,1676,Literature as Data,LAI
ENGL1677,ENGL,1677,Literature as Data,W
ENGL1678,ENGL,1678,Topics in Medieval Literature,LAI
ENGL1679,ENGL,1679,Topics in Medieval Literature,W
ENGL1680,ENGL,1680,Topics in Early Modern Lit,LAI
ENGL1681,ENGL,1681,Topics in Early Modern Lit,W
ENGL1682,ENGL,1682,British Lit Chaucer-Pope,LAI
ENGL1683,ENGL,1683,British Lit Chaucer-Pope,W
ENGL1684,ENGL,1684,Topics in Brit Lit Age of Rev,LAI
ENGL1685,ENGL,1685,British Literary History II,LAI
ENGL1686,ENGL,1686,British Literary History II,W
ENGL1687,ENGL,1687,Victorian Gender and Sexuality,LAI
ENGL1688,ENGL,1688,Victorian Gender and Sexuality,HD
ENGL1689,ENGL,1689,Victorian Gender and Sexuality,W
ENGL1690,ENGL,1690,American Literary History I,LAI
ENGL1691,ENGL,1691,American Literary History I,W
ENGL1692,ENGL,1692,Topics in Am Lit in Age of Rev,LAI
ENGL1693,ENGL,1693,Topics in Am Lit in Age of Rev,W
ENGL1694,ENGL,1694,Hist of Print/Digital Culture,LAI
ENGL1695,ENGL,1695,Hist of Print/Digital Culture,W
ENGL1696,ENGL,1696,Transatlantic Encounters III,LAI
ENGL1697,ENGL,1697,Transatlantic Encounters III,HD
ENGL1698,ENGL,1698,Transatlantic Encounters III,W
ENGL1699,ENGL,1699,Topics-Mod & Contep Am Lit,LAI
ENGL1700,ENGL,1700,Topics-Mod & Contep Am Lit,W
ENGL1701,ENGL,1701,African-American Literature,LAI
ENGL1702,ENGL,1702,African-American Literature,HD
ENGL1703,ENGL,1703,African-American Literature,W
ENGL1704,ENGL,1704,Chicana/Chicano Literature,LAI
ENGL1705,ENGL,1705,Chicana/Chicano Literature,HD
ENGL1706,ENGL,1706,Chicana/Chicano Literature,W
ENGL1707,ENGL,1707,Women and the Southwest,LAI
ENGL1708,ENGL,1708,Jewish American Literature,LAI
ENGL1709,ENGL,1709,Jewish American Literature,HD
ENGL1710,ENGL,1710,Jewish American Literature,W
ENGL1711,ENGL,1711,American Literary History II,LAI
ENGL1712,ENGL,1712,American Literary History II,W
ENGL1713,ENGL,1713,Ethical Impl-Children's Lit,LAI
ENGL1714,ENGL,1714,Ethical Impl-Children's Lit,HD
ENGL1715,ENGL,1715,Ethical Impl-Children's Lit,OC
ENGL1716,ENGL,1716,Ethical Impl-Children's Lit,W
ENGL1717,ENGL,1717,LGBTQ+ Writing,LAI
ENGL1718,ENGL,1718,LGBTQ+ Writing,HD
ENGL1719,ENGL,1719,LGBTQ+ Writing,W
ENGL1720,ENGL,1720,Contexts of Disability,LAI
ENGL1721,ENGL,1721,Contexts of Disability,HD
ENGL1722,ENGL,1722,Contexts of Disability,OC
ENGL1723,ENGL,1723,Contexts of Disability,W
ENGL1724,ENGL,1724,Literature and Medicine,LAI
ENGL1725,ENGL,1725,Literature and Medicine,W
ENGL1726,ENGL,1726,Literature of the Holocaust,LAI
ENGL1727,ENGL,1727,Literature of the Holocaust,HD
ENGL1728,ENGL,1728,Literature of the Holocaust,OC
ENGL1729,ENGL,1729,Literature of the Holocaust,W
ENGL1730,ENGL,1730,The Gothic Novel,W
ENGL1731,ENGL,1731,Creative Writing Workshop,W
ENGL1732,ENGL,1732,Renaissance Writers,OC
ENGL1733,ENGL,1733,Brit Lit in Age of Revolutions,OC
ENGL1734,ENGL,1734,Modern & Contemp Brit Writers,OC
ENGL1735,ENGL,1735,Transatlantic Studies III,OC
ENGR1736,ENGR,1736,Intro to Engineering Design,TAS
ENGR1737,ENGR,1737,Intro to Engineering Design,OC
EPL1738,EPL,1738,The American University,W
EPL1739,EPL,1739,Comparative Leadership,GPS
FILM1740,FILM,1740,Art of Film and Media,CA
FILM1741,FILM,1741,Art of Film and Media,CAA
FILM1742,FILM,1742,Contemporary Media Industries,TAS
FILM1743,FILM,1743,Introduction to Screenwriting,W
FILM1744,FILM,1744,Creativity and Ideation,CA
FILM1745,FILM,1745,Creativity and Ideation,CAC
FILM1746,FILM,1746,American Popular Film & TV,CA
FILM1747,FILM,1747,American Popular Film & TV,CAA
FILM1748,FILM,1748,History of Animated Film,HC
FILM1749,FILM,1749,International Film History,HC
FILM1750,FILM,1750,Diversity and American Film,HC
FILM1751,FILM,1751,Diversity and American Film,HD
FILM1752,FILM,1752,Film and Television Genres,CA
FILM1753,FILM,1753,Film and Television Genres,CAA
FILM1754,FILM,1754,Intermediate Production,OC
FILM1755,FILM,1755,Producing,OC
FILM1756,FILM,1756,Producing,QA
FILM1757,FILM,1757,Screen Artists,CA
FILM1758,FILM,1758,Screen Artists,CAA
FILM1759,FILM,1759,American Film History,CA
FILM1760,FILM,1760,American Film History,CAA
FILM1761,FILM,1761,American Broadcast History,CA
FILM1762,FILM,1762,American Broadcast History,CAA
FILM1763,FILM,1763,American Broadcast History,HC
FILM1764,FILM,1764,History of Documentary Film/Tv,HC
FILM1765,FILM,1765,Post War European Cinema,CA
FILM1766,FILM,1766,Post War European Cinema,CAA
FREN1767,FREN,1767,Beginning French II,SLM
FREN1768,FREN,1768,Beginning Fren II With Review,SLM
FREN1769,FREN,1769,Accelerated Beginner French,SLM
FREN1770,FREN,1770,Accelerated Beginner French,GPS
FREN1771,FREN,1771,Intermediate French II,CA
FREN1772,FREN,1772,Intermediate French II,CAA
FREN1773,FREN,1773,Intermediate French II,GPS
FREN1774,FREN,1774,Intermediate French II,OC
FREN1775,FREN,1775,Intermediate French,LAI
FREN1776,FREN,1776,Intermediate French,GPS
FREN1777,FREN,1777,Advanced French II,GPS
FREN1778,FREN,1778,Intro to French Lit III,CIE
FREN1779,FREN,1779,Literature on Human Rights,CIE
FREN1780,FREN,1780,Literature on Human Rights,HD
FREN1781,FREN,1781,Vampires in French Literature,GPS
FREN1782,FREN,1782,Francophone Cultures,HD
FREN1783,FREN,1783,French Women Writers,HD
GEOL1784,GEOL,1784,Earth Systems,ES
GEOL1785,GEOL,1785,Oceanography,ES
GEOL1786,GEOL,1786,The Solar System,ES
GEOL1787,GEOL,1787,Earthquakes and Volcanoes,ES
GEOL1788,GEOL,1788,Intro to Environmental Science,ES
GEOL1789,GEOL,1789,Earth Tectonics and Interior,ES
GEOL1790,GEOL,1790,Computer Methods,QA
GERM1791,GERM,1791,Beginning German II,SLM
GERM1792,GERM,1792,"Culture, Grammar, & Literature",CA
GERM1793,GERM,1793,"Culture, Grammar, & Literature",CAA
GERM1794,GERM,1794,"Culture, Grammar, & Literature",LAI
GERM1795,GERM,1795,"Culture, Grammar, & Literature",GPS
GERM1796,GERM,1796,Talking and Writing in German,W
GRE1797,GRE,1797,Beginning Ancient Greek II,SLC
GRE1798,GRE,1798,Intermediate Greek I,LAI
HDEV1799,HDEV,1799,Academic/Personal Development,OC
HDEV1800,HDEV,1800,Success Strategies,OC
HIST1801,HIST,1801,Western Civilization to 1527,HC
HIST1802,HIST,1802,Western Civilization to 1527,OC
HIST1803,HIST,1803,Western Civil Since 1527,HC
HIST1804,HIST,1804,Introductory Topics/Amer Hist,HC
HIST1805,HIST,1805,Introductory Topics/Amer Hist,HD
HIST1806,HIST,1806,Introductory Topics/Amer Hist,OC
HIST1807,HIST,1807,Introductory Topics/Amer Hist,W
HIST1808,HIST,1808,Introductory Topics/Europe,HC
HIST1809,HIST,1809,Introductory Topics/Europe,W
HIST1810,HIST,1810,Doing Digital History,TAS
HIST1811,HIST,1811,Human Rights in South Africa,HC
HIST1812,HIST,1812,Human Rights in South Africa,GPS
HIST1813,HIST,1813,Human Rights in South Africa,HD
HIST1814,HIST,1814,Artists and Amer Revolution,HC
